acc_000_000	Iron Bangle
e343	Upper Rank Insignia
e344	PSICOM Officer Pin
e345	Silver Brooch
it_antidote	Antidote
it_elixir	Elixir
it_holywater	Holy Water
it_hpotion	Wound Potion
it_libra	Librascope
it_phenxbl	Phoenix Blood
it_phenxtal	Phoenix Down
it_potion	Potion
it_sedative	Painkiller
it_tonkati	Mallet
it_unico	Unicorn Horn
it_universal	Remedy
it_wax	Wax
key_a_code	Supply Sphere Access Code
key_a_secret	Personal Notes
key_access_13	Access Key 13
key_access_49	Access Key 49
key_access_50	Access Key 50
key_access_51	Access Key 51
key_access_52	Access Key 52
key_access_la	Top Floor Access Key
key_acdmycom	Academy Communicator
key_behi_fang	Behemoth Fang
key_black_flw	Terrorists' Mark
key_black_ystn	Onyx Crystal
key_c_tab	Capsule
key_casino_dice	Setzer's Dice
key_casino_prz	Just 1 gil!
key_chaos_cly	Chaos Crystal
key_common_art	Bulb of Hope
key_f_colonel	Commander's Report
key_f_kioku	Recording Device
key_f_kit	Medical Kit
key_f_manual	Service Manual
key_f_message	My Buddy's Message
key_f_proof	Technician's Note
key_fenr_flw	Fruit of Fenrir
key_gowa_wool	Rough Wool
key_green_ystn	Emerald Crystal
key_kansoku	Old Device
key_l_knife	Lightning's Knife
key_lockjail	Holding Cell Key
key_lostcom	Army Comm Device
key_miss_art	Tablet of Paddra
key_miss_watch	Outdoor Watch
key_moko_wool	Fluffy Wool
key_mon_data	Monster Analysis Report
key_nuku_wool	Thick Wool
key_osonae	Picture Frame
key_para50f	Paradox Agent Type A
key_para52f	Paradox Agent Type B
key_paraxxf	Paradox Agent Type C
key_plsstone	Eternal Crystal
key_rem_ring	Sealed Tablet
key_s_neck	Snow's Necklace
key_search_pow	Old Battery
key_sone_info	Thorne's Information
key_tissue	Toilet Paper Coupon
key_unk_s_opt	Mysterious Artefact
key_unk_y_opt	Mysterious Artefact
key_wep_sozai	Weapon Material
key_white_ystn	Ivory Crystal
key_y_baggage	Wedding Jewelry
key_y_diary	Comm Device
key_yukimi	Silver Petal
material_a000	Potent Droplet
material_a001	Potent Sliver
material_a002	Potent Orb
material_a003	Potent Essence
material_a004	Potent Crystal
material_a005	Power Droplet
material_a006	Power Sliver
material_a007	Power Orb
material_a008	Power Essence
material_a009	Power Crystal
material_a010	Mana Droplet
material_a011	Mana Sliver
material_a012	Mana Orb
material_a013	Mana Essence
material_a014	Mana Crystal
material_a015	Vitality Droplet
material_a016	Vitality Sliver
material_a017	Vitality Orb
material_a018	Vitality Essence
material_a019	Vitality Crystal
material_a020	Power Bolt
material_a021	Power Chip
material_a022	Power Engine
material_a023	Power Booster
material_a024	Power Generator
material_a025	Mana Bolt
material_a026	Mana Chip
material_a027	Mana Engine
material_a028	Mana Booster
material_a029	Mana Generator
material_a030	Vitality Bolt
material_a031	Vitality Chip
material_a032	Vitality Engine
material_a033	Vitality Booster
material_a034	Vitality Generator
material_a035	Potent Bolt
material_a036	Potent Chip
material_a037	Potent Engine
material_a038	Potent Booster
material_a039	Potent Generator
material_b000	Gogmagog Nail
material_b001	Gogmagogite
material_b002	Chronomist
material_b003	Giant Knuckle
material_b004	Crystal Turbine
material_b005	Mutant Extract
material_b006	Ripened Flanjuice
material_b007	Faeryl Fang
material_j000	Insulated Cabling
material_j001	Fiber-optic Cable
material_j002	Liquid Crystal Lens
material_j003	Ring Joint
material_j004	Epicyclic Gear
material_j005	Crankshaft
material_j006	Electrolytic Capacitor
material_j007	Flywheel
material_j008	Sprocket
material_j009	Actuator
material_j010	Spark Plug
material_j011	Iridium Plug
material_j012	Needle Valve
material_j013	Butterfly Valve
material_j014	Analog Circuit
material_j015	Digital Circuit
material_j016	Gyroscope
material_j017	Electrode
material_j018	Ceramic Armor
material_j019	Chobham Armor
material_j020	Radial Bearing
material_j021	Thrust Bearing
material_j022	Solenoid
material_j023	Mobius Coil
material_j024	Tungsten Tube
material_j025	Titanium Tube
material_j026	Passive Detector
material_j027	Active Detector
material_j028	Transformer
material_j029	Amplifier
material_j030	Carburetor
material_j031	Supercharger
material_j032	Piezoelectric Element
material_j033	Crystal Oscillator
material_j034	Paraffin Oil
material_j035	Silicone Oil
material_j036	Synthetic Muscle
material_j037	Turboprop
material_j038	Turbojet
material_j039	Tesla Turbine
material_j040	Polymer Emulsion
material_j041	Ferroelectric Film
material_j042	Superconductor
material_j043	Perfect Conductor
material_j044	Particle Accelerator
material_j045	Ultracompact Reactor
material_m000	Begrimed Claw
material_m001	Bestial Claw
material_m002	Gargantuan Claw
material_m003	Hellish Talon
material_m004	Shattered Bone
material_m005	Sturdy Bone
material_m006	Otherworldly Bone
material_m007	Ancient Bone
material_m009	Moistened Scale
material_m010	Seapetal Scale
material_m011	Abyssal Scale
material_m012	Sea King's Beard
material_m013	Segmented Carapace
material_m014	Iron Shell
material_m015	Armored Shell
material_m016	Regenerating Carapace
material_m017	Chipped Fang
material_m018	Wicked Fang
material_m019	Monstrous Fang
material_m020	Sinister Fang
material_m021	Severed Wing
material_m022	Scaled Wing
material_m023	Abominable Wing
material_m024	Menacing Wings
material_m025	Molted Tail
material_m026	Barbed Tail
material_m027	Diabolic Tail
material_m028	Entrancing Tail
material_m029	Torn Leather
material_m030	Thickened Hide
material_m031	Smooth Hide
material_m032	Supple Leather
material_m033	Gummy Oil
material_m034	Fragrant Oil
material_m035	Medicinal Oil
material_m036	Esoteric Oil
material_m041	Bomb Ashes
material_m042	Bomb Fragment
material_m043	Bomb Shell
material_m044	Bomb Core
material_m045	Murky Ooze
material_m046	Vibrant Ooze
material_m047	Transparent Ooze
material_m048	Wonder Gel
material_m049	Fractured Horn
material_m050	Spined Horn
material_m051	Fiendish Horn
material_m052	Infernal Horn
material_m053	Strange Fluid
material_m054	Enigmatic Fluid
material_m055	Mysterious Fluid
material_m056	Ineffable Fluid
material_m057	Cie'th Tear
material_m058	Tear of Frustration
material_m059	Tear of Remorse
material_m060	Tear of Woe
material_m061	Chocobo Plume
material_m062	Chocobo Tail Feather
material_m063	Green Needle
material_m064	Dawnlight Dew
material_m065	Dusklight Dew
material_m066	Gloomstalk
material_m067	Sunpetal
material_m068	Red Mycelium
material_m069	Blue Mycelium
material_m070	White Mycelium
material_m071	Black Mycelium
material_m072	Succulent Fruit
material_m073	Malodorous Fruit
material_m074	Moonblossom Seed
material_m075	Starblossom Seed
material_m076	Perfume
material_m077	Pot Shard
material_m078	Fractal Pot
material_o000	Millerite
material_o001	Rhodochrosite
material_o002	Cobaltite
material_o003	Perovskite
material_o004	Uraninite
material_o005	Mnar Stone
material_o006	Scarletite
material_o007	Adamantite
material_o008	Dark Matter
material_o009	Trapezohedron
material_o010	Gold Dust
material_o011	Gold Nugget
material_o012	Platinum Ingot
mcr_k002	Silver Lobo
mcr_k003	Gorgonopsid
mcr_k005	Mánagarmr
mcr_k008	Flanbanero
mcr_k010	Flanborg
mcr_k012	Dreadnought
mcr_k015	Feral Behemoth
mcr_k018	Orion
mcr_k036	Yaksha
mcr_k037	Triffid
mcr_k038	Vespid
mcr_k039	Barbed Specter
mcr_k040	Vespid Soldier
mcr_k041	Gremlin
mcr_k042	Imp
mcr_k043	Zwerg Scandroid
mcr_k045	Leyak
mcr_k048	Garuda
mcr_k054	Munchkin
mcr_k056	Goblin Chieftain
mcr_k057	Munchkin Maestro
mcr_k063	Pulsework Soldier
mcr_k064	Pulsework Knight
mcr_k065	Pulsework Gladiator
mcr_k066	Bomb
mcr_k069	Navidon
mcr_k071	Lucidon
mcr_k072	Thermadon
mcr_k075	Greater Behemoth
mcr_k077	Proto-behemoth
mcr_k079	Flanitor
mcr_k094	Monster Crystal
mcr_k099	Crawler
mcr_k102	Frag Leech
mcr_k123	Bloodfang Bass
mcr_k124	Breshan Bass
mcr_k125	Hedge Frog
mcr_k126	Mud Frog
mcr_k127	Ceratosaur
mcr_k128	Ceratoraptor
mcr_k150	Thexteron
mcr_k152	Viking
mcr_k172	Phosphoric Ooze
mcr_k173	Garchimacera
mcr_k174	Rangda
mcr_k182	Hoplite
mcr_k185	Yakshini
mcr_k190	Microchu
mcr_k206	Ahriman
mcr_k211	Zwerg Metrodroid
mcr_k213	Svarog
mcr_k214	Circuitron
mcr_k215	Cryohedron
mcr_k253	Cactuar
mcr_k254	Tonberry
mcr_k255	Metal Gigantuar
mcr_k256	Flowering Cactuar
mcr_k257	Gigantuar
mcr_k270	Nekton
mcr_k271	Meonekton
mcr_k273	Cait Sith
mcr_k275	Miniflan
mcr_k400	Uridimmu
mcr_k423	Nanochu
mcr_k430	Luminous Puma
mcr_k432	Seeping Brie
mcr_k433	Albino Lobo
mcr_k434	Flandit
mcr_k435	Garganzola
mcr_k436	Flangonzola
mcr_k437	Fencer
mcr_k438	Yeoman
mcr_k441	Gandayaks
mcr_k442	Gahongas
mcr_k443	Clematis
mcr_k444	Necrosis
mcr_k445	Koboldroid Yin
mcr_k446	Koboldroid Yang
mcr_k447	Buccaboo
mcr_k448	Gancanagh
mcr_k449	Buccaboo Ace
mcr_k450	Gancanagh Ace
mcr_k451	Sahagin Prince
mcr_k452	Cloudburst
mcr_k453	Tempest
mcr_k454	Debris
mcr_k455	Reaver
mcr_k456	Zaghnal
mcr_k457	Narasimha
mcr_k458	Vodianoi
mcr_k459	Samovira
mcr_k460	Shaguma
mcr_k461	Haguma
mcr_k462	Dendrobium
mcr_k463	Mandrake
mcr_k490	Mewmao
mcr_k491	Schrodinger
mcr_k492	Forked Cat
mcr_k493	Clione
mcr_k494	Pleuston
mcr_k495	Chelicerata
mcr_k496	Pantopoda
mcr_k640	Bamapama
mcr_k641	Mimi
mcr_k642	Fachan
mcr_k643	Unsaganashi
mcr_k644	Amanojaku
mcr_k645	Notsugo
mcr_k646	Vouivre
mcr_k647	Kanna Kamuy
mcr_k649	Deathgaze
mcr_k650	Moblin
mcr_k651	Major Moblin
mcr_k652	Swampmonk
mcr_k653	Apkallu
mcr_k654	Oannes
mcr_k655	Glyptodon
mcr_k656	Bunkerbeast
mcr_k657	Calautidon
mcr_k660	Sarracenia
mcr_k661	Spiranthes
mcr_k662	Caterchipillar
mcr_k663	Exoray
mcr_k664	Dragoon
mcr_k665	Spiceacilian
mcr_k666	Tabasco Toad
mcr_k667	Pitterpatter
mcr_k668	Chunerpeton
mcr_k672	Testudo
mcr_k673	Scutari
mcr_k677	Chichu
mcr_k678	Xolotl
mcr_k679	Miquiztli
mcr_k681	Tezcatlipoca
mcr_k682	Metallicactuar
mcr_k683	Cactuaroni
mcr_k684	Cactuarama
mcr_k685	Cactuarina
mcr_k686	Don Tonberry
mcr_k851	Apotamkin
mcr_k852	Illuyankas
mcr_k853	Grenade
mcr_k856	Lancer
mcr_k861	Pink Lily
mcr_k865	Golden Chocobo
mcr_k866	Silver Chocobo
mcr_k867	White Chocobo
mcr_k868	Black Chocobo
mcr_k869	Blue Chocobo
mcr_k870	Red Chocobo
mcr_k871	Green Chocobo
mcr_k872	Purple Chocobo
mcr_k882	Chocobo
mcr_k895	Twilight Odin
mcr_k950	Unused / unnamed monster crystal 950
mcr_k951	Unused / unnamed monster crystal 951
mcr_k952	Unused / unnamed monster crystal 952
mcr_k953	Unused / unnamed monster crystal 953
mcr_k954	Unused / unnamed monster crystal 954
mcr_k959	Unused / unnamed monster crystal 959
mcr_k961	Unused / unnamed monster crystal 961
mcr_k962	Unused / unnamed monster crystal 962
mcr_k969	Unused / unnamed monster crystal 969
mcr_k971	Unused / unnamed monster crystal 971
mcr_k973	Unused / unnamed monster crystal 973
mcr_k974	Unused / unnamed monster crystal 974
opt_aaea02_sp	Vagabond Artefact
opt_aaea_re	'Promises' Gate Seal
opt_acea01_gt	Tower Artefact
opt_acea_re	'Flight' Gate Seal
opt_acfa_re	'Final Battle' Gate Seal
opt_bjaa01_gy	Eclipse Artefact
opt_bjaa02_sn	Reunion Artefact
opt_bjaa_re	'Scars' Gate Seal
opt_bjba_re	'Disaster' Gate Seal
opt_bjda_re	'Labyrinth' Gate Seal
opt_clza_re	'Prediction' Gate Seal
opt_csza_re	'Eternity' Gate Seal
opt_ddha_re	'Determination' Gate Seal
opt_gdza_re	'The Calm' Gate Seal
opt_ghaa_re	'The Fall' Gate Seal
opt_ghsn01_cs	Illusionary Artefact
opt_ghsn02_ac	Restoration Artefact
opt_gtca01_aa	Artefact of Rebirth
opt_gtca_re	'Facts' Gate Seal
opt_gtda_re	'Silence' Gate Seal
opt_gwca01_gh	Artefact of Origins
opt_gwca_re	'Encounters' Gate Seal
opt_gwda_re	'How Things Were' Gate Seal
opt_gwea_re	'Hometown' Gate Seal
opt_gyaa01_gw	Hollow Artefact
opt_gyaa_re	'Visions' Gate Seal
opt_gyba_re	'Reminiscence' Gate Seal
opt_gyca_re	'Maleficence' Gate Seal
opt_hmaa01_bj	Giant's Artefact
opt_hmaa_re	'Leaving' Gate Seal
opt_hmha01_ac	Artefact of the Ark
opt_silver	Wild Artefact
opt_snda01_cl	Combat Artefact
opt_snda02_gd	Thundering Artefact
opt_snda_re	'Farewells' Gate Seal
opt_snea_re	'Thunderstruck' Gate Seal
opt_spza_re	'Sisters' Gate Seal
opt_vaza_re	'Hope' Gate Seal
opt_vpba_re	'Afterimage' Gate Seal
opt_vpca_re	'Return' Gate Seal
tmap_ac	Map of Academia
tmap_af	Map of Academia 500 AF
tmap_bj	Map of the Bresha Ruins
tmap_cl	Map of the Coliseum
tmap_cs	Map of Serendipity
tmap_dd	Map of a Dying World
tmap_gd	Map of the Steppe
tmap_gt	Map of Augusta Tower
tmap_gw	Map of Oerba
tmap_gy	Map of the Yaschas Massif
tmap_hh	Map of New Bodhum 700 AF
tmap_hm	Map of New Bodhum
tmap_sn	Map of Sunleth Waterscape
tmap_sp	Map of the Void Beyond
tmap_vp	Map of the Vile Peaks
wea_noe_001	Flame Fossil
wea_noe_002	Howling Soul
wea_noe_003	Volatile Spark
wea_noe_004	Blazing Spirit
wea_noe_005	Vajradanda
wea_noe_006	Survivor's Edge
wea_noe_007	Avenger's Edge
wea_noe_008	Shellbreaker
wea_noe_009	Fragarach
wea_noe_010	Grasitha
wea_noe_011	Rune Tooth
wea_noe_012	Sargatanas
wea_noe_013	Nomad's Machete
wea_noe_014	Orochi
wea_noe_015	Romulus & Remus
wea_noe_016	Guardian's Edge
wea_noe_017	Blessed Blade
wea_noe_018	Sacred Cross
wea_noe_019	The Tower
wea_noe_020	Mac an Luin
wea_noe_021	In Paradisum
wea_noe_022	Odinblade
wea_noe_023	Noel DLC weapon 2
wea_noe_024	Catastrophe Blade
wea_ser_001	Starseeker
wea_ser_002	Meteorblaze
wea_ser_003	Lunar Stinger
wea_ser_004	Raging Arc
wea_ser_005	Izanami
wea_ser_006	Amazon Bow
wea_ser_007	Fellowship Arc
wea_ser_008	Trollspike
wea_ser_009	Fatal Barb
wea_ser_010	Gandiva
wea_ser_011	Faerie's Bow
wea_ser_012	Rune Feather
wea_ser_013	Angel's Bow
wea_ser_014	Eurytos's Bow
wea_ser_015	Indrajit
wea_ser_016	Butterfly Bow
wea_ser_017	Wild Chorus
wea_ser_018	Chrysalis Arc
wea_ser_019	Nagaraja
wea_ser_020	Sagittarius
wea_ser_021	Arcus Chronica
wea_ser_022	Odinbolt
wea_ser_023	Seraphic Wing
wea_ser_024	Serah DLC weapon 2
wea_ser_025	Serah DLC weapon 3
wea_ser_026	Unused / unnamed Serah weapon 026
wea_ser_027	Unused / unnamed Serah weapon 027
wea_ser_028	Unused / unnamed Serah weapon 028
wea_ser_029	Unused / unnamed Serah weapon 029
wea_ser_030	Unused / unnamed Serah weapon 030
wea_ser_031	Unused / unnamed Serah weapon 031
wea_ser_032	Unused / unnamed Serah weapon 032
wea_ser_033	Unused / unnamed Serah weapon 033
wea_ser_034	Unused / unnamed Serah weapon 034
xwea_noe_025	Unused / unnamed Noel weapon 025
xwea_noe_026	Unused / unnamed Noel weapon 026
xwea_noe_027	Unused / unnamed Noel weapon 027
xwea_noe_028	Unused / unnamed Noel weapon 028
xwea_noe_029	Unused / unnamed Noel weapon 029
xwea_noe_030	Unused / unnamed Noel weapon 030
acc_080_001	Delicate Genji Glove
acc_081_001	Delicate Genji Shield
acc_082_000	Lightning Cross
acc_083_000	Sergeant's Badge
acc_084_000	Genji Helm
acc_084_001	Delicate Genji Helm
acc_085_000	Bloody Medallion
acc_086_000	Colonel's Glasses
acc_087_000	Snow's Bandanna
